"var","var2","yhat","yhat_scale","cluster","var_name_x","var_name_y","yhat_scale_2"
"69","4 Oplandskommune",73,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"70","5 Landkommune",73,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"71","1 Hovedstadskommune",74,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"72","2 Storbykommune",74,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"73","3 Provinsbykommune",74,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"74","4 Oplandskommune",74,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"75","5 Landkommune",74,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"76","1 Hovedstadskommune",75,0.370787746838993,0.0122829995101044,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.487376571866748
"77","2 Storbykommune",75,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"78","3 Provinsbykommune",75,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"79","4 Oplandskommune",75,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"80","5 Landkommune",75,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"81","1 Hovedstadskommune",76,0.370787746838993,0.0122829995101044,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.487376571866748
"82","2 Storbykommune",76,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"83","3 Provinsbykommune",76,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"84","4 Oplandskommune",76,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"85","5 Landkommune",76,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"86","1 Hovedstadskommune",77,0.370787746838993,0.0122829995101044,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.487376571866748
"87","2 Storbykommune",77,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"88","3 Provinsbykommune",77,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"89","4 Oplandskommune",77,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"90","5 Landkommune",77,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"91","1 Hovedstadskommune",78,0.370787746838993,0.0122829995101044,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.487376571866748
"92","2 Storbykommune",78,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"93","3 Provinsbykommune",78,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"94","4 Oplandskommune",78,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"95","5 Landkommune",78,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"96","1 Hovedstadskommune",79,0.371660209894455,0.0131554625655659,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.521994993263036
"97","2 Storbykommune",79,0.374031597523293,0.0155268501944038,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.616089173773219
"98","3 Provinsbykommune",79,0.374139301800436,0.0156345544715468,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.620362766825646
"99","4 Oplandskommune",79,0.383707024621493,0.0252022772926038,"Cluster_1","muni_type","KARAKTER_UDD_HS",1
"100","5 Landkommune",79,0.38093533466858,0.0224305873396912,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.890022242008822
"101","1 Hovedstadskommune",80,0.371660209894455,0.0131554625655659,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.521994993263036
"102","2 Storbykommune",80,0.369972033712608,0.0114672863837188,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.455009928292637
"103","3 Provinsbykommune",80,0.370101433936773,0.0115966866078842,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.460144393827755
"104","4 Oplandskommune",80,0.379745776725666,0.0212410293967775,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.842821827177148
"105","5 Landkommune",80,0.379045658127268,0.0205409107983786,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.815041853555305
"106","1 Hovedstadskommune",81,0.371795307622299,0.0132905602934097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.527355529784213
"107","2 Storbykommune",81,0.369972033712608,0.0114672863837188,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.455009928292637
"108","3 Provinsbykommune",81,0.370101433936773,0.0115966866078842,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.460144393827755
"109","4 Oplandskommune",81,0.379745776725666,0.0212410293967775,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.842821827177148
"110","5 Landkommune",81,0.379045658127268,0.0205409107983786,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.815041853555305
"111","1 Hovedstadskommune",82,0.371795307622299,0.0132905602934097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.527355529784213
"112","2 Storbykommune",82,0.369972033712608,0.0114672863837188,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.455009928292637
"113","3 Provinsbykommune",82,0.370101433936773,0.0115966866078842,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.460144393827755
"114","4 Oplandskommune",82,0.379745776725666,0.0212410293967775,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.842821827177148
"115","5 Landkommune",82,0.379045658127268,0.0205409107983786,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.815041853555305
"116","1 Hovedstadskommune",84,0.371795307622299,0.0132905602934097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.527355529784213
"117","2 Storbykommune",84,0.37002949804005,0.0115247507111608,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.457290052694684
"118","3 Provinsbykommune",84,0.370158707960661,0.0116539606317718,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.462416967183831
"119","4 Oplandskommune",84,0.379803241053108,0.0212984937242195,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.845101951579196
"120","5 Landkommune",84,0.379103392124987,0.0205986447960984,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.817332678191884
"121","1 Hovedstadskommune",85,0.371795307622299,0.0132905602934097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.527355529784213
"122","2 Storbykommune",85,0.370617323294363,0.0121125759654737,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.480614343888219
"123","3 Provinsbykommune",85,0.370744711237695,0.0122399639088061,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.485668964224839
"124","4 Oplandskommune",85,0.38039066783839,0.0218859205095013,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.868410431938396
"125","5 Landkommune",85,0.379103392124987,0.0205986447960984,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.817332678191884
"126","1 Hovedstadskommune",86,0.371795307622299,0.0132905602934097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.527355529784213
"127","2 Storbykommune",86,0.370617323294363,0.0121125759654737,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.480614343888219
"128","3 Provinsbykommune",86,0.370744711237695,0.0122399639088061,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.485668964224839
"129","4 Oplandskommune",86,0.38039066783839,0.0218859205095013,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.868410431938396
"130","5 Landkommune",86,0.379103392124987,0.0205986447960984,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.817332678191884
"131","1 Hovedstadskommune",87,0.371795307622299,0.0132905602934097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.527355529784213
"132","2 Storbykommune",87,0.370617323294363,0.0121125759654737,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.480614343888219
"133","3 Provinsbykommune",87,0.370744711237695,0.0122399639088061,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.485668964224839
"134","4 Oplandskommune",87,0.38039066783839,0.0218859205095013,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.868410431938396
"135","5 Landkommune",87,0.379103392124987,0.0205986447960984,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.817332678191884
"136","1 Hovedstadskommune",88,0.371795307622299,0.0132905602934097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.527355529784213
"137","2 Storbykommune",88,0.370758371852141,0.0122536245232517,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.486211003116286
"138","3 Provinsbykommune",88,0.370885258713893,0.0123805113850045,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.491245741059991
"139","4 Oplandskommune",88,0.380531716396168,0.0220269690672793,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.874007091166466
"140","5 Landkommune",88,0.379245218884734,0.0207404715558455,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.822960215660045
"141","1 Hovedstadskommune",89,0.371937109334098,0.013432362005209,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.532982073376005
"142","2 Storbykommune",89,0.370893937077713,0.012389189748824,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.4915900894583
"143","3 Provinsbykommune",89,0.371020496900687,0.0125157495717983,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.496611850845374
"144","4 Oplandskommune",89,0.380667554533339,0.0221628072044502,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.879397006355232
"145","5 Landkommune",89,0.379373952450999,0.0208692051221097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.828068228907008
"146","1 Hovedstadskommune",90,0.371937109334098,0.013432362005209,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.532982073376005
"147","2 Storbykommune",90,0.370893937077713,0.012389189748824,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.4915900894583
"148","3 Provinsbykommune",90,0.371020496900687,0.0125157495717983,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.496611850845374
"149","4 Oplandskommune",90,0.380667554533339,0.0221628072044502,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.879397006355232
"150","5 Landkommune",90,0.379373952450999,0.0208692051221097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.828068228907008
"151","1 Hovedstadskommune",91,0.371937109334098,0.013432362005209,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.532982073376005
"152","2 Storbykommune",91,0.370893937077713,0.012389189748824,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.4915900894583
"153","3 Provinsbykommune",91,0.371020496900687,0.0125157495717983,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.496611850845374
"154","4 Oplandskommune",91,0.380667554533339,0.0221628072044502,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.879397006355232
"155","5 Landkommune",91,0.379373952450999,0.0208692051221097,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.828068228907008
"156","1 Hovedstadskommune",92,0.371937109334098,0.013432362005209,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.532982073376005
"157","2 Storbykommune",92,0.370893937077713,0.012389189748824,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.4915900894583
"158","3 Provinsbykommune",92,0.371020496900687,0.0125157495717983,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.496611850845374
"159","4 Oplandskommune",92,0.380667554533339,0.0221628072044502,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.879397006355232
