"group","state","k","x","value","grouplab"
"155","Cluster 1",">75%-100%","10","11",0.0325478645066274,"Cluster 1 (n=7201)"
"156","Cluster 1",">75%-100%","11","12",0.0301864456939923,"Cluster 1 (n=7201)"
"157","Cluster 1",">75%-100%","12","13",0.0272471494150748,"Cluster 1 (n=7201)"
"158","Cluster 1",">75%-100%","13","14",0.0269672855879752,"Cluster 1 (n=7201)"
"159","Cluster 1",">75%-100%","14","15",0.0250774450508925,"Cluster 1 (n=7201)"
"160","Cluster 1",">75%-100%","15","16",0.0207658321060383,"Cluster 1 (n=7201)"
"161","Cluster 1",">75%-100%","16","17",0.018513076697032,"Cluster 1 (n=7201)"
"162","Cluster 1",">75%-100%","17","18",0.0175775480059084,"Cluster 1 (n=7201)"
"163","Cluster 1",">75%-100%","18","19",0.0167819814514942,"Cluster 1 (n=7201)"
"164","Cluster 1",">75%-100%","19","20",0.0157223375852863,"Cluster 1 (n=7201)"
"165","Cluster 1",">75%-100%","20","21",0.0181062629860493,"Cluster 1 (n=7201)"
"166","Cluster 1",">75%-100%","21","22",0.0155525646777329,"Cluster 1 (n=7201)"
"167","Cluster 1",">75%-100%","22","23",0.0157028536916805,"Cluster 1 (n=7201)"
"168","Cluster 1",">75%-100%","23","24",0.0170783775541324,"Cluster 1 (n=7201)"
"169","Cluster 1",">75%-100%","24","25",0.0187843616371411,"Cluster 1 (n=7201)"
"170","Cluster 1",">75%-100%","25","26",0.0203546646106399,"Cluster 1 (n=7201)"
"171","Cluster 1",">75%-100%","26","27",0.022363721074701,"Cluster 1 (n=7201)"
"172","Cluster 1",">75%-100%","27","28",0.0231132075471698,"Cluster 1 (n=7201)"
"173","Cluster 1",">75%-100%","28","29",0.0236572890025575,"Cluster 1 (n=7201)"
"174","Cluster 1",">75%-100%","29","30",0.0254994315413351,"Cluster 1 (n=7201)"
"175","Cluster 1",">75%-100%","30","31",0.0275896249793491,"Cluster 1 (n=7201)"
"176","Cluster 1",">75%-100%","31","32",0.0262891809908999,"Cluster 1 (n=7201)"
"177","Cluster 1",">75%-100%","32","33",0.026443138610439,"Cluster 1 (n=7201)"
"178","Cluster 1",">75%-100%","33","34",0.024524613470766,"Cluster 1 (n=7201)"
"179","Cluster 1",">75%-100%","34","35",0.0238226131574125,"Cluster 1 (n=7201)"
"180","Cluster 1",">75%-100%","35","36",0.0223205695593612,"Cluster 1 (n=7201)"
"181","Cluster 2","Not teacher","0","1",0.555350553505535,"Cluster 2 (n=2418)"
"182","Cluster 2","Not teacher","1","2",0.482150727192596,"Cluster 2 (n=2418)"
"183","Cluster 2","Not teacher","2","3",0.41309059384482,"Cluster 2 (n=2418)"
"184","Cluster 2","Not teacher","3","4",0.365927857453281,"Cluster 2 (n=2418)"
"185","Cluster 2","Not teacher","4","5",0.336097773897861,"Cluster 2 (n=2418)"
"186","Cluster 2","Not teacher","5","6",0.290365156181258,"Cluster 2 (n=2418)"
"187","Cluster 2","Not teacher","6","7",0.27139689578714,"Cluster 2 (n=2418)"
"188","Cluster 2","Not teacher","7","8",0.242397137745975,"Cluster 2 (n=2418)"
"189","Cluster 2","Not teacher","8","9",0.220323741007194,"Cluster 2 (n=2418)"
"190","Cluster 2","Not teacher","9","10",0.200819672131148,"Cluster 2 (n=2418)"
"191","Cluster 2","Not teacher","10","11",0.180987202925046,"Cluster 2 (n=2418)"
"192","Cluster 2","Not teacher","11","12",0.164976958525346,"Cluster 2 (n=2418)"
"193","Cluster 2","Not teacher","12","13",0.149791955617198,"Cluster 2 (n=2418)"
"194","Cluster 2","Not teacher","13","14",0.144767173812817,"Cluster 2 (n=2418)"
"195","Cluster 2","Not teacher","14","15",0.130616025937934,"Cluster 2 (n=2418)"
"196","Cluster 2","Not teacher","15","16",0.120863970588235,"Cluster 2 (n=2418)"
"197","Cluster 2","Not teacher","16","17",0.115543328748281,"Cluster 2 (n=2418)"
"198","Cluster 2","Not teacher","17","18",0.105409153952843,"Cluster 2 (n=2418)"
"199","Cluster 2","Not teacher","18","19",0.104823747680891,"Cluster 2 (n=2418)"
"200","Cluster 2","Not teacher","19","20",0.0904007455731594,"Cluster 2 (n=2418)"
