"var","var2","yhat","yhat_scale","cluster","var_name_x","var_name_y","yhat_scale_2"
"36","1 Hovedstadskommune",29.4666666666667,0.367200797797865,0.0000244782947667055,"Cluster_1","muni_type","age_at_grad",0.00134524088222078
"37","2 Storbykommune",29.4666666666667,0.375372485769535,0.00819616626643627,"Cluster_1","muni_type","age_at_grad",0.450432435926289
"38","3 Provinsbykommune",29.4666666666667,0.37576091330304,0.00858459379994131,"Cluster_1","muni_type","age_at_grad",0.471779045354405
"39","4 Oplandskommune",29.4666666666667,0.385372536322123,0.0181962168190248,"Cluster_1","muni_type","age_at_grad",1
"40","5 Landkommune",29.4666666666667,0.382405678389745,0.0152293588866465,"Cluster_1","muni_type","age_at_grad",0.836951935565179
"41","1 Hovedstadskommune",30.5333333333333,0.367200797797865,0.0000244782947667055,"Cluster_1","muni_type","age_at_grad",0.00134524088222078
"42","2 Storbykommune",30.5333333333333,0.375372485769535,0.00819616626643627,"Cluster_1","muni_type","age_at_grad",0.450432435926289
"43","3 Provinsbykommune",30.5333333333333,0.37576091330304,0.00858459379994131,"Cluster_1","muni_type","age_at_grad",0.471779045354405
"44","4 Oplandskommune",30.5333333333333,0.385372536322123,0.0181962168190248,"Cluster_1","muni_type","age_at_grad",1
"45","5 Landkommune",30.5333333333333,0.382405678389745,0.0152293588866465,"Cluster_1","muni_type","age_at_grad",0.836951935565179
"46","1 Hovedstadskommune",31.6,0.367200797797865,0.0000244782947667055,"Cluster_1","muni_type","age_at_grad",0.00134524088222078
"47","2 Storbykommune",31.6,0.375372485769535,0.00819616626643627,"Cluster_1","muni_type","age_at_grad",0.450432435926289
"48","3 Provinsbykommune",31.6,0.37576091330304,0.00858459379994131,"Cluster_1","muni_type","age_at_grad",0.471779045354405
"49","4 Oplandskommune",31.6,0.385372536322123,0.0181962168190248,"Cluster_1","muni_type","age_at_grad",1
"50","5 Landkommune",31.6,0.382405678389745,0.0152293588866465,"Cluster_1","muni_type","age_at_grad",0.836951935565179
"51","1 Hovedstadskommune",32.6666666666667,0.367200797797865,0.0000244782947667055,"Cluster_1","muni_type","age_at_grad",0.00134524088222078
"52","2 Storbykommune",32.6666666666667,0.375372485769535,0.00819616626643627,"Cluster_1","muni_type","age_at_grad",0.450432435926289
"53","3 Provinsbykommune",32.6666666666667,0.37576091330304,0.00858459379994131,"Cluster_1","muni_type","age_at_grad",0.471779045354405
"54","4 Oplandskommune",32.6666666666667,0.385372536322123,0.0181962168190248,"Cluster_1","muni_type","age_at_grad",1
"55","5 Landkommune",32.6666666666667,0.382405678389745,0.0152293588866465,"Cluster_1","muni_type","age_at_grad",0.836951935565179
"56","1 Hovedstadskommune",33.7333333333333,0.367200797797865,0.0000244782947667055,"Cluster_1","muni_type","age_at_grad",0.00134524088222078
